"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"Texas"	"48"	804	20851820	3.9
	"2000"	"2000"	"Utah"	"49"	16	2233169	Unreliable
	"2000"	"2000"	"Virginia"	"51"	284	7078515	4.0
	"2000"	"2000"	"Washington"	"53"	112	5894121	1.9
	"2000"	"2000"	"West Virginia"	"54"	56	1808344	3.1
	"2000"	"2000"	"Wisconsin"	"55"	112	5363675	2.1
	"2001"	"2001"	"Alabama"	"01"	302	4467634	6.8
	"2001"	"2001"	"Alaska"	"02"	25	633714	3.9
	"2001"	"2001"	"Arizona"	"04"	332	5273477	6.3
	"2001"	"2001"	"Arkansas"	"05"	110	2691571	4.1
	"2001"	"2001"	"California"	"06"	1589	34479458	4.6
	"2001"	"2001"	"Colorado"	"08"	98	4425687	2.2
	"2001"	"2001"	"Connecticut"	"09"	72	3432835	2.1
	"2001"	"2001"	"Delaware"	"10"	19	795699	Unreliable
	"2001"	"2001"	"District of Columbia"	"11"	141	574504	24.5
	"2001"	"2001"	"Florida"	"12"	573	16356966	3.5
	"2001"	"2001"	"Georgia"	"13"	454	8377038	5.4
	"2001"	"2001"	"Idaho"	"16"	25	1319962	1.9
	"2001"	"2001"	"Illinois"	"17"	747	12488445	6.0
	"2001"	"2001"	"Indiana"	"18"	290	6127760	4.7
	"2001"	"2001"	"Iowa"	"19"	24	2931997	0.8
	"2001"	"2001"	"Kansas"	"20"	91	2702162	3.4
	"2001"	"2001"	"Kentucky"	"21"	138	4068132	3.4
	"2001"	"2001"	"Louisiana"	"22"	400	4477875	8.9
	"2001"	"2001"	"Maryland"	"24"	363	5374691	6.8
	"2001"	"2001"	"Massachusetts"	"25"	80	6397634	1.3
	"2001"	"2001"	"Michigan"	"26"	499	9991120	5.0
	"2001"	"2001"	"Minnesota"	"27"	68	4982796	1.4
	"2001"	"2001"	"Mississippi"	"28"	224	2852994	7.9
	"2001"	"2001"	"Missouri"	"29"	275	5641142	4.9
	"2001"	"2001"	"Montana"	"30"	20	906961	2.2
	"2001"	"2001"	"Nebraska"	"31"	21	1719836	1.2
	"2001"	"2001"	"Nevada"	"32"	109	2098399	5.2
	"2001"	"2001"	"New Jersey"	"34"	185	8492671	2.2
	"2001"	"2001"	"New Mexico"	"35"	67	1831690	3.7
	"2001"	"2001"	"New York"	"36"	583	19082838	3.1
	"2001"	"2001"	"North Carolina"	"37"	418	8210122	5.1
	"2001"	"2001"	"Ohio"	"39"	316	11387404	2.8
	"2001"	"2001"	"Oklahoma"	"40"	126	3467100	3.6
	"2001"	"2001"	"Oregon"	"41"	47	3467937	1.4
	"2001"	"2001"	"Pennsylvania"	"42"	444	12298970	3.6
	"2001"	"2001"	"Rhode Island"	"44"	20	1057142	1.9
	"2001"	"2001"	"South Carolina"	"45"	228	4064995	5.6
	"2001"	"2001"	"Tennessee"	"47"	307	5750789	5.3
	"2001"	"2001"	"Texas"	"48"	873	21319622	4.1
	"2001"	"2001"	"Utah"	"49"	40	2283715	1.8
	"2001"	"2001"	"Virginia"	"51"	275	7198362	3.8
	"2001"	"2001"	"Washington"	"53"	106	5985722	1.8
	"2001"	"2001"	"West Virginia"	"54"	38	1801481	2.1
	"2001"	"2001"	"Wisconsin"	"55"	134	5406835	2.5
	"2002"	"2002"	"Alabama"	"01"	292	4480089	6.5
	"2002"	"2002"	"Alaska"	"02"	26	642337	4.0
	"2002"	"2002"	"Arizona"	"04"	355	5396255	6.6
	"2002"	"2002"	"Arkansas"	"05"	146	2705927	5.4
	"2002"	"2002"	"California"	"06"	1810	34871843	5.2
	"2002"	"2002"	"Colorado"	"08"	116	4490406	2.6
	"2002"	"2002"	"Connecticut"	"09"	57	3458749	1.6
	"2002"	"2002"	"Delaware"	"10"	28	806169	3.5
	"2002"	"2002"	"District of Columbia"	"11"	176	573158	30.7
	"2002"	"2002"	"Florida"	"12"	635	16689370	3.8
	"2002"	"2002"	"Georgia"	"13"	477	8508256	5.6
	"2002"	"2002"	"Hawaii"	"15"	15	1239613	Unreliable
	"2002"	"2002"	"Idaho"	"16"	15	1340372	Unreliable
	"2002"	"2002"	"Illinois"	"17"	728	12525556	5.8
	"2002"	"2002"	"Indiana"	"18"	242	6155967	3.9
	"2002"	"2002"	"Iowa"	"19"	30	2934234	1.0
	"2002"	"2002"	"Kansas"	"20"	74	2713535	2.7
	"2002"	"2002"	"Kentucky"	"21"	127	4089875	3.1
	"2002"	"2002"	"Louisiana"	"22"	467	4497267	10.4
	"2002"	"2002"	"Maryland"	"24"	365	5440389	6.7
	"2002"	"2002"	"Massachusetts"	"25"	94	6417206	1.5
	"2002"	"2002"	"Michigan"	"26"	489	10015710	4.9
	"2002"	"2002"	"Minnesota"	"27"	55	5018935	1.1
	"2002"	"2002"	"Mississippi"	"28"	208	2858681	7.3
	"2002"	"2002"	"Missouri"	"29"	253	5674825	4.5
	"2002"	"2002"	"Nebraska"	"31"	27	1728292	1.6
	"2002"	"2002"	"Nevada"	"32"	114	2173791	5.2
	"2002"	"2002"	"New Jersey"	"34"	208	8552643	2.4
	"2002"	"2002"	"New Mexico"	"35"	81	1855309	4.4
	"2002"	"2002"	"New York"	"36"	550	19137800	2.9
	"2002"	"2002"	"North Carolina"	"37"	467	8326201	5.6
	"2002"	"2002"	"Ohio"	"39"	353	11407889	3.1
	"2002"	"2002"	"Oklahoma"	"40"	113	3489080	3.2
	"2002"	"2002"	"Oregon"	"41"	64	3513424	1.8
	"2002"	"2002"	"Pennsylvania"	"42"	456	12331031	3.7
	"2002"	"2002"	"Rhode Island"	"44"	25	1065995	2.3
	"2002"	"2002"	"South Carolina"	"45"	227	4107795	5.5
	"2002"	"2002"	"Tennessee"	"47"	323	5795918	5.6
	"2002"	"2002"	"Texas"	"48"	889	21690325	4.1
	"2002"	"2002"	"Utah"	"49"	27	2324815	1.2
	"2002"	"2002"	"Virginia"	"51"	286	7286873	3.9
	"2002"	"2002"	"Washington"	"53"	110	6052349	1.8
	"2002"	"2002"	"West Virginia"	"54"	66	1805414	3.7
	"2002"	"2002"	"Wisconsin"	"55"	122	5445162	2.2
	"2003"	"2003"	"Alabama"	"01"	322	4503491	7.2
	"2003"	"2003"	"Alaska"	"02"	32	648414	4.9
	"2003"	"2003"	"Arizona"	"04"	324	5510364	5.9
	"2003"	"2003"	"Arkansas"	"05"	123	2724816	4.5
	"2003"	"2003"	"California"	"06"	1782	35253159	5.1
	"2003"	"2003"	"Colorado"	"08"	117	4528732	2.6
	"2003"	"2003"	"Connecticut"	"09"	56	3484336	1.6
	"2003"	"2003"	"Delaware"	"10"	18	818003	Unreliable
	"2003"	"2003"	"District of Columbia"	"11"	156	568502	27.4
	"2003"	"2003"	"Florida"	"12"	660	17004085	3.9
	"2003"	"2003"	"Georgia"	"13"	493	8622793	5.7
	"2003"	"2003"	"Hawaii"	"15"	10	1251154	Unreliable
	"2003"	"2003"	"Idaho"	"16"	19	1363380	Unreliable
	"2003"	"2003"	"Illinois"	"17"	696	12556006	5.5
	"2003"	"2003"	"Indiana"	"18"	247	6196638	4.0
	"2003"	"2003"	"Iowa"	"19"	24	2941999	0.8
	"2003"	"2003"	"Kansas"	"20"	78	2723004	2.9
	"2003"	"2003"	"Kentucky"	"21"	115	4117170	2.8
	"2003"	"2003"	"Louisiana"	"22"	473	4521042	10.5
	"2003"	"2003"	"Maryland"	"24"	394	5496269	7.2
	"2003"	"2003"	"Massachusetts"	"25"	78	6422565	1.2
	"2003"	"2003"	"Michigan"	"26"	477	10041152	4.8
	"2003"	"2003"	"Minnesota"	"27"	75	5053572	1.5
	"2003"	"2003"	"Mississippi"	"28"	201	2868312	7.0
	"2003"	"2003"	"Missouri"	"29"	219	5709403	3.8
	"2003"	"2003"	"Montana"	"30"	20	919630	2.2
	"2003"	"2003"	"Nebraska"	"31"	31	1738643	1.8
	"2003"	"2003"	"Nevada"	"32"	114	2248850	5.1
	"2003"	"2003"	"New Jersey"	"34"	257	8601402	3.0
	"2003"	"2003"	"New Mexico"	"35"	87	1877574	4.6
	"2003"	"2003"	"New York"	"36"	589	19175939	3.1
	"2003"	"2003"	"North Carolina"	"37"	396	8422501	4.7
	"2003"	"2003"	"North Dakota"	"38"	12	638817	Unreliable
	"2003"	"2003"	"Ohio"	"39"	321	11434788	2.8
	"2003"	"2003"	"Oklahoma"	"40"	139	3504892	4.0
	"2003"	"2003"	"Oregon"	"41"	52	3547376	1.5
	"2003"	"2003"	"Pennsylvania"	"42"	467	12374658	3.8
	"2003"	"2003"	"Rhode Island"	"44"	21	1071342	2.0
	"2003"	"2003"	"South Carolina"	"45"	236	4150297	5.7
	"2003"	"2003"	"Tennessee"	"47"	299	5847812	5.1
	"2003"	"2003"	"Texas"	"48"	974	22030931	4.4
	"2003"	"2003"	"Utah"	"49"	37	2360137	1.6
	"2003"	"2003"	"Virginia"	"51"	336	7366977	4.6
	"2003"	"2003"	"Washington"	"53"	111	6104115	1.8
	"2003"	"2003"	"West Virginia"	"54"	60	1812295	3.3
	"2003"	"2003"	"Wisconsin"	"55"	140	5479203	2.6
	"2004"	"2004"	"Alabama"	"01"	262	4530729	5.8
	"2004"	"2004"	"Alaska"	"02"	20	659286	3.0
	"2004"	"2004"	"Arizona"	"04"	342	5652404	6.1
	"2004"	"2004"	"Arkansas"	"05"	141	2749686	5.1
	"2004"	"2004"	"California"	"06"	1808	35574576	5.1
	"2004"	"2004"	"Colorado"	"08"	131	4575013	2.9
	"2004"	"2004"	"Connecticut"	"09"	64	3496094	1.8
	"2004"	"2004"	"Delaware"	"10"	27	830803	3.2
	"2004"	"2004"	"District of Columbia"	"11"	137	567754	24.1
	"2004"	"2004"	"Florida"	"12"	647	17415318	3.7
	"2004"	"2004"	"Georgia"	"13"	419	8769252	4.8
	"2004"	"2004"	"Idaho"	"16"	16	1391802	Unreliable
	"2004"	"2004"	"Illinois"	"17"	573	12589773	4.6
	"2004"	"2004"	"Indiana"	"18"	224	6233007	3.6
	"2004"	"2004"	"Iowa"	"19"	30	2953635	1.0
	"2004"	"2004"	"Kansas"	"20"	85	2734373	3.1
	"2004"	"2004"	"Kentucky"	"21"	152	4146101	3.7
	"2004"	"2004"	"Louisiana"	"22"	480	4552238	10.5
	"2004"	"2004"	"Maine"	"23"	11	1313688	Unreliable
	"2004"	"2004"	"Maryland"	"24"	386	5546935	7.0
	"2004"	"2004"	"Massachusetts"	"25"	106	6412281	1.7
	"2004"	"2004"	"Michigan"	"26"	488	10055315	4.9
	"2004"	"2004"	"Minnesota"	"27"	85	5087713	1.7
	"2004"	"2004"	"Mississippi"	"28"	202	2889010	7.0
	"2004"	"2004"	"Missouri"	"29"	257	5747741	4.5
	"2004"	"2004"	"Montana"	"30"	12	930009	Unreliable
	"2004"	"2004"	"Nebraska"	"31"	24	1749370	1.4
	"2004"	"2004"	"Nevada"	"32"	123	2346222	5.2
	"2004"	"2004"	"New Hampshire"	"33"	11	1290121	Unreliable
	"2004"	"2004"	"New Jersey"	"34"	253	8634561	2.9
	"2004"	"2004"	"New Mexico"	"35"	81	1903808	4.3
	"2004"	"2004"	"New York"	"36"	516	19171567	2.7
	"2004"	"2004"	"North Carolina"	"37"	411	8553152	4.8
	"2004"	"2004"	"Ohio"	"39"	340	11452251	3.0
	"2004"	"2004"	"Oklahoma"	"40"	124	3525233	3.5
	"2004"	"2004"	"Oregon"	"41"	65	3569463	1.8
	"2004"	"2004"	"Pennsylvania"	"42"	504	12410722	4.1
	"2004"	"2004"	"Rhode Island"	"44"	18	1074579	Unreliable
	"2004"	"2004"	"South Carolina"	"45"	220	4210921	5.2
	"2004"	"2004"	"Tennessee"	"47"	286	5910809	4.8
	"2004"	"2004"	"Texas"	"48"	923	22394023	4.1
	"2004"	"2004"	"Utah"	"49"	30	2401580	1.2
	"2004"	"2004"	"Virginia"	"51"	295	7475575	3.9
	"2004"	"2004"	"Washington"	"53"	122	6178645	2.0
	"2004"	"2004"	"West Virginia"	"54"	52	1816438	2.9
	"2004"	"2004"	"Wisconsin"	"55"	93	5514026	1.7
	"2005"	"2005"	"Alabama"	"01"	319	4569805	7.0
	"2005"	"2005"	"Alaska"	"02"	24	666946	3.6
	"2005"	"2005"	"Arizona"	"04"	377	5839077	6.5
	"2005"	"2005"	"Arkansas"	"05"	154	2781097	5.5
	"2005"	"2005"	"California"	"06"	1878	35827943	5.2
	"2005"	"2005"	"Colorado"	"08"	115	4631888	2.5
	"2005"	"2005"	"Connecticut"	"09"	66	3506956	1.9
	"2005"	"2005"	"Delaware"	"10"	33	845150	3.9
	"2005"	"2005"	"District of Columbia"	"11"	142	567136	25.0
	"2005"	"2005"	"Florida"	"12"	631	17842038	3.5
	"2005"	"2005"	"Georgia"	"13"	439	8925922	4.9
	"2005"	"2005"	"Idaho"	"16"	28	1428241	2.0
	"2005"	"2005"	"Illinois"	"17"	569	12609903	4.5
	"2005"	"2005"	"Indiana"	"18"	257	6278616	4.1
	"2005"	"2005"	"Iowa"	"19"	23	2964454	0.8
	"2005"	"2005"	"Kansas"	"20"	61	2745299	2.2
	"2005"	"2005"	"Kentucky"	"21"	152	4182742	3.6
	"2005"	"2005"	"Louisiana"	"22"	457	4576628	10.0
	"2005"	"2005"	"Maryland"	"24"	422	5592379	7.5
	"2005"	"2005"	"Massachusetts"	"25"	108	6403290	1.7
	"2005"	"2005"	"Michigan"	"26"	491	10051137	4.9
	"2005"	"2005"	"Minnesota"	"27"	88	5119598	1.7
	"2005"	"2005"	"Mississippi"	"28"	175	2905943	6.0
	"2005"	"2005"	"Missouri"	"29"	293	5790300	5.1
	"2005"	"2005"	"Montana"	"30"	17	940102	Unreliable
	"2005"	"2005"	"Nebraska"	"31"	28	1761497	1.6
	"2005"	"2005"	"Nevada"	"32"	115	2432143	4.7
	"2005"	"2005"	"New Jersey"	"34"	288	8651974	3.3
	"2005"	"2005"	"New Mexico"	"35"	77	1932274	4.0
	"2005"	"2005"	"New York"	"36"	515	19132610	2.7
	"2005"	"2005"	"North Carolina"	"37"	451	8705407	5.2
	"2005"	"2005"	"Ohio"	"39"	408	11463320	3.6
	"2005"	"2005"	"Oklahoma"	"40"	136	3548597	3.8
	"2005"	"2005"	"Oregon"	"41"	54	3613202	1.5
	"2005"	"2005"	"Pennsylvania"	"42"	535	12449990	4.3
	"2005"	"2005"	"Rhode Island"	"44"	19	1067916	Unreliable
	"2005"	"2005"	"South Carolina"	"45"	235	4270150	5.5
	"2005"	"2005"	"Tennessee"	"47"	371	5991057	6.2
	"2005"	"2005"	"Texas"	"48"	1009	22778123	4.4
	"2005"	"2005"	"Utah"	"49"	33	2457719	1.3
	"2005"	"2005"	"Virginia"	"51"	353	7577105	4.7
	"2005"	"2005"	"Washington"	"53"	141	6257305	2.3
	"2005"	"2005"	"West Virginia"	"54"	57	1820492	3.1
	"2005"	"2005"	"Wisconsin"	"55"	159	5546166	2.9
	"2005"	"2005"	"Wyoming"	"56"	11	514157	Unreliable
	"2006"	"2006"	"Alabama"	"01"	333	4628981	7.2
	"2006"	"2006"	"Alaska"	"02"	28	675302	4.1
	"2006"	"2006"	"Arizona"	"04"	387	6029141	6.4
	"2006"	"2006"	"Arkansas"	"05"	155	2821761	5.5
	"2006"	"2006"	"California"	"06"	1883	36021202	5.2
	"2006"	"2006"	"Colorado"	"08"	104	4720423	2.2
	"2006"	"2006"	"Connecticut"	"09"	92	3517460	2.6
	"2006"	"2006"	"Delaware"	"10"	34	859268	4.0
	"2006"	"2006"	"District of Columbia"	"11"	120	570681	21.0
	"2006"	"2006"	"Florida"	"12"	803	18166990	4.4
	"2006"	"2006"	"Georgia"	"13"	495	9155813	5.4
	"2006"	"2006"	"Idaho"	"16"	24	1468669	1.6
	"2006"	"2006"	"Illinois"	"17"	625	12643955	4.9
	"2006"	"2006"	"Indiana"	"18"	264	6332669	4.2
	"2006"	"2006"	"Iowa"	"19"	38	2982644	1.3
	"2006"	"2006"	"Kansas"	"20"	73	2762931	2.6
	"2006"	"2006"	"Kentucky"	"21"	111	4219239	2.6
	"2006"	"2006"	"Louisiana"	"22"	443	4302665	10.3
	"2006"	"2006"	"Maine"	"23"	15	1323619	Unreliable
	"2006"	"2006"	"Maryland"	"24"	416	5627367	7.4
	"2006"	"2006"	"Massachusetts"	"25"	105	6410084	1.6
	"2006"	"2006"	"Michigan"	"26"	536	10036081	5.3
	"2006"	"2006"	"Minnesota"	"27"	78	5163555	1.5
	"2006"	"2006"	"Mississippi"	"28"	222	2904978	7.6
	"2006"	"2006"	"Missouri"	"29"	295	5842704	5.0
	"2006"	"2006"	"Montana"	"30"	11	952692	Unreliable
	"2006"	"2006"	"Nebraska"	"31"	31	1772693	1.7
	"2006"	"2006"	"Nevada"	"32"	131	2522658	5.2
	"2006"	"2006"	"New Hampshire"	"33"	12	1308389	Unreliable
	"2006"	"2006"	"New Jersey"	"34"	301	8661679	3.5
	"2006"	"2006"	"New Mexico"	"35"	73	1962137	3.7
	"2006"	"2006"	"New York"	"36"	570	19104631	3.0
	"2006"	"2006"	"North Carolina"	"37"	439	8917270	4.9
	"2006"	"2006"	"Ohio"	"39"	451	11481213	3.9
	"2006"	"2006"	"Oklahoma"	"40"	152	3594090	4.2
	"2006"	"2006"	"Oregon"	"41"	63	3670883	1.7
	"2006"	"2006"	"Pennsylvania"	"42"	593	12510809	4.7
	"2006"	"2006"	"Rhode Island"	"44"	19	1063096	Unreliable
	"2006"	"2006"	"South Carolina"	"45"	274	4357847	6.3
	"2006"	"2006"	"Tennessee"	"47"	330	6088766	5.4
	"2006"	"2006"	"Texas"	"48"	1033	23359580	4.4
	"2006"	"2006"	"Utah"	"49"	29	2525507	1.1
	"2006"	"2006"	"Virginia"	"51"	284	7673725	3.7
	"2006"	"2006"	"Washington"	"53"	123	6370753	1.9
	"2006"	"2006"	"West Virginia"	"54"	57	1827912	3.1
	"2006"	"2006"	"Wisconsin"	"55"	110	5577655	2.0
	"2007"	"2007"	"Alabama"	"01"	378	4672840	8.1
	"2007"	"2007"	"Alaska"	"02"	25	680300	3.7
	"2007"	"2007"	"Arizona"	"04"	354	6167681	5.7
	"2007"	"2007"	"Arkansas"	"05"	153	2848650	5.4
	"2007"	"2007"	"California"	"06"	1701	36250311	4.7
	"2007"	"2007"	"Colorado"	"08"	91	4803868	1.9
	"2007"	"2007"	"Connecticut"	"09"	67	3527270	1.9
	"2007"	"2007"	"Delaware"	"10"	30	871749	3.4
	"2007"	"2007"	"District of Columbia"	"11"	129	574404	22.5
	"2007"	"2007"	"Florida"	"12"	935	18367842	5.1
	"2007"	"2007"	"Georgia"	"13"	557	9349988	6.0
	"2007"	"2007"	"Idaho"	"16"	29	1505105	1.9
	"2007"	"2007"	"Illinois"	"17"	575	12695866	4.5
	"2007"	"2007"	"Indiana"	"18"	251	6379599	3.9
	"2007"	"2007"	"Iowa"	"19"	18	2999212	Unreliable
	"2007"	"2007"	"Kansas"	"20"	71	2783785	2.6
	"2007"	"2007"	"Kentucky"	"21"	152	4256672	3.6
	"2007"	"2007"	"Louisiana"	"22"	488	4375581	11.2
	"2007"	"2007"	"Maine"	"23"	15	1327040	Unreliable
	"2007"	"2007"	"Maryland"	"24"	424	5653408	7.5
	"2007"	"2007"	"Massachusetts"	"25"	115	6431559	1.8
	"2007"	"2007"	"Michigan"	"26"	506	10001284	5.1
	"2007"	"2007"	"Minnesota"	"27"	70	5207203	1.3
	"2007"	"2007"	"Mississippi"	"28"	219	2928350	7.5
	"2007"	"2007"	"Missouri"	"29"	265	5887612	4.5
	"2007"	"2007"	"Montana"	"30"	15	964706	Unreliable
	"2007"	"2007"	"Nebraska"	"31"	43	1783440	2.4
	"2007"	"2007"	"Nevada"	"32"	131	2601072	5.0
	"2007"	"2007"	"New Jersey"	"34"	276	8677885	3.2
	"2007"	"2007"	"New Mexico"	"35"	78	1990070	3.9
	"2007"	"2007"	"New York"	"36"	522	19132335	2.7
	"2007"	"2007"	"North Carolina"	"37"	458	9118037	5.0
	"2007"	"2007"	"Ohio"	"39"	413	11500468	3.6
	"2007"	"2007"	"Oklahoma"	"40"	151	3634349	4.2
	"2007"	"2007"	"Oregon"	"41"	43	3722417	1.2
	"2007"	"2007"	"Pennsylvania"	"42"	554	12563937	4.4
	"2007"	"2007"	"Rhode Island"	"44"	13	1057315	Unreliable
	"2007"	"2007"	"South Carolina"	"45"	255	4444110	5.7
	"2007"	"2007"	"Tennessee"	"47"	343	6175727	5.6
	"2007"	"2007"	"Texas"	"48"	1029	23831983	4.3
	"2007"	"2007"	"Utah"	"49"	40	2597746	1.5
	"2007"	"2007"	"Virginia"	"51"	308	7751000	4.0
	"2007"	"2007"	"Washington"	"53"	124	6461587	1.9
	"2007"	"2007"	"West Virginia"	"54"	46	1834052	2.5
	"2007"	"2007"	"Wisconsin"	"55"	132	5610775	2.4
	"2008"	"2008"	"Alabama"	"01"	349	4718206	7.4
	"2008"	"2008"	"Alaska"	"02"	15	687455	Unreliable
	"2008"	"2008"	"Arizona"	"04"	333	6280362	5.3
	"2008"	"2008"	"Arkansas"	"05"	145	2874554	5.0
	"2008"	"2008"	"California"	"06"	1569	36604337	4.3
	"2008"	"2008"	"Colorado"	"08"	109	4889730	2.2
	"2008"	"2008"	"Connecticut"	"09"	87	3545579	2.5
	"2008"	"2008"	"Delaware"	"10"	54	883874	6.1
	"2008"	"2008"	"District of Columbia"	"11"	122	580236	21.0
	"2008"	"2008"	"Florida"	"12"	886	18527305	4.8
	"2008"	"2008"	"Georgia"	"13"	515	9504843	5.4
	"2008"	"2008"	"Hawaii"	"15"	11	1332213	Unreliable
	"2008"	"2008"	"Idaho"	"16"	13	1534320	Unreliable
	"2008"	"2008"	"Illinois"	"17"	631	12747038	5.0
	"2008"	"2008"	"Indiana"	"18"	235	6424806	3.7
	"2008"	"2008"	"Iowa"	"19"	34	3016734	1.1
	"2008"	"2008"	"Kansas"	"20"	77	2808076	2.7
	"2008"	"2008"	"Kentucky"	"21"	160	4289878	3.7
	"2008"	"2008"	"Louisiana"	"22"	430	4435586	9.7
	"2008"	"2008"	"Maine"	"23"	12	1330509	Unreliable
	"2008"	"2008"	"Maryland"	"24"	379	5684965	6.7
	"2008"	"2008"	"Massachusetts"	"25"	98	6468967	1.5
